Country,Year,Air transport CO2 emissions
France,2018,20231844.31
France,2019,19936434.67
France,2020,9700459.953
France,2021,10730820.97
France,2022,15541854.44
France,2023,16912915.32
France,2024,17191024.83
Germany,2013,26178092.09
Germany,2014,26866184.09
Germany,2015,27762844.35
Germany,2016,27994806.87
Germany,2017,27335461.29
Germany,2018,27017972.7
Germany,2019,25903800.55
Germany,2020,8765494.338
Germany,2021,10107829.41
Germany,2022,17061834.22
Germany,2023,20003827.49
Germany,2024,21123112.07
Greece,2013,789068.8372
Greece,2014,923932.0389
Greece,2015,1154302.371
Greece,2016,1285468.779
Greece,2017,1303408.019
Greece,2018,1425031.231
Greece,2019,1432613.2
Greece,2020,624597.4004
Greece,2021,974313.9611
Greece,2022,1419636.641
Greece,2023,1741590.227
Greece,2024,1873643.289
Hungary,2013,1315937.179
Hungary,2014,1621574.005
Hungary,2015,2001623.93
Hungary,2016,2405813.741
Hungary,2017,2909244.993
Hungary,2018,3433686.041
Hungary,2019,3213082.432
Hungary,2020,1938073.213
Hungary,2021,2271863.193
Hungary,2022,4036812.438
Hungary,2023,3764965.479
Hungary,2024,2703778.971
Iceland,2013,742892.8714
Iceland,2014,879402.4818
Iceland,2015,1113816.292
Iceland,2016,1533445.182
Iceland,2017,1952216.03
Iceland,2018,2188845.575
Iceland,2019,1979278.671
Iceland,2020,667956.1941
Iceland,2021,921595.9775
Iceland,2022,1612416.21
Iceland,2023,1760186.5
Iceland,2024,1889224.962
Ireland,2013,9815969.094
Ireland,2014,10228126.77
Ireland,2015,11051910.67
Ireland,2016,13599272.95
Ireland,2017,15627714.71
Ireland,2018,16948309.14
Ireland,2019,17496093.52
Ireland,2020,5776812.283
Ireland,2021,6001911.937
Ireland,2022,13616633.59
Ireland,2023,15808183.33
Ireland,2024,16176875.97
Israel,2013,1994549.638
Israel,2014,2040907.111
Israel,2015,2138917.008
Israel,2016,2277335.72
Israel,2017,2348375.597
Israel,2018,2334362.254
Israel,2019,2334764.249
Israel,2020,616895.4416
Israel,2021,882543.7207
Israel,2022,1612679.997
Israel,2023,2008004.836
Israel,2024,2298697.781
Italy,2013,4937369.247
Italy,2014,4747048.663
Italy,2015,4737629.624
Italy,2016,5114032.191
Italy,2017,5234046.521
Italy,2018,5444550.334
Italy,2019,6054944.595
Italy,2020,1902196.735
Italy,2021,1614497.369
Italy,2022,2639337.53
Italy,2023,3322863.741
Italy,2024,4037663.007
Japan,2013,19830454.31
Japan,2014,20783019.93
Japan,2015,21819202.64
Japan,2016,22735155.29
Japan,2017,23373783.58
Japan,2018,23946508.14
Japan,2019,23710216.51
Japan,2020,13419358.04
Japan,2021,14565666.08
Japan,2022,18422572.28
Japan,2023,20364970.7
Japan,2024,21441866.51
Korea,2013,14446799.36
Korea,2014,15302042.71
Korea,2015,16491887.65
Korea,2016,17900516.79
Korea,2017,19106892.65
Korea,2018,20081139.9
Korea,2019,21545272.69
Korea,2020,9280177.313
Korea,2021,8151364.085
Korea,2022,10137207.34
Korea,2023,16670846.89
Korea,2024,19370963.62
Latvia,2013,384952.4908
Latvia,2014,345045.6249
Latvia,2015,402398.8655
Latvia,2016,432277.0967
Latvia,2017,434399.53
Latvia,2018,409661.5639
Latvia,2019,685372.0411
Latvia,2020,84219.82778
Latvia,2021,387725.0645
Latvia,2022,710003.4981
Latvia,2023,1190776.75
Latvia,2024,1327399.45
Lithuania,2013,74163.27547
Lithuania,2014,33813.88875
Lithuania,2015,13487.96237
Lithuania,2016,1507.536726
Lithuania,2017,1446.798338
Lithuania,2018,58811.31892
Lithuania,2019,166149.0414
Lithuania,2020,71137.78092
Lithuania,2021,99790.31034
Lithuania,2022,102571.9032
Lithuania,2023,132373.2895
Lithuania,2024,116998.4515
Luxembourg,2013,173546.7687
Luxembourg,2014,183753.4843
Luxembourg,2015,194130.4677
Luxembourg,2016,198184.9795
Luxembourg,2017,202975.7595
Luxembourg,2018,224150.7942
Luxembourg,2019,283968.5827
Luxembourg,2020,179313.6828
Luxembourg,2021,307157.6375
Luxembourg,2022,431259.884
Luxembourg,2023,483646.8521
Luxembourg,2024,488066.8612
Mexico,2013,5748008.444
Mexico,2014,6204353.946
Mexico,2015,6886454.208
Mexico,2016,7669030.898
Mexico,2017,8588474.944
Mexico,2018,9465822.675
Mexico,2019,10144715.99
Mexico,2020,5753344.646
Mexico,2021,7740916.964
Mexico,2022,9476012.825
Mexico,2023,10701534.83
Mexico,2024,10972607.55
Netherlands,2013,8767293.775
Netherlands,2014,8871885.562
Netherlands,2015,8998789.057
Netherlands,2016,9700791.337
Netherlands,2017,10367593.09
Netherlands,2018,10942039.19
Netherlands,2019,11688576.07
Netherlands,2020,6333065.613
Netherlands,2021,6562470.58
Netherlands,2022,8255904.345
Netherlands,2023,8883729.091
Netherlands,2024,9061783.982
