Country,Year,Air transport CO2 emissions
France,2024,17191024.83
Germany,2024,21123112.07
Greece,2024,1873643.289
Hungary,2024,2703778.971
Iceland,2024,1889224.962
Ireland,2024,16176875.97
Israel,2024,2298697.781
Italy,2024,4037663.007
Japan,2024,21441866.51
Korea,2024,19370963.62
Latvia,2024,1327399.45
Lithuania,2024,116998.4515
Luxembourg,2024,488066.8612
Mexico,2024,10972607.55
Netherlands,2024,9061783.982
New Zealand,2024,3281622.386
Norway,2024,2631275.684
Poland,2024,4604706.229
Portugal,2024,4941500.66
Slovak Republic,2024,90503.62922
Slovenia,2024,28882.96009
Spain,2024,14171813.39
Sweden,2024,2801740.285
Switzerland,2024,5390782.466
Türkiye,2024,25190062.38
United Kingdom,2024,33272786.32
United States,2024,185703318
United States,2019,181430746.8
Australia,2016,16126649.43
Austria,2016,2462909.824
Belgium,2016,2402628.763
Canada,2016,18392489.26
Chile,2016,5357326.766
Colombia,2016,4338402.19
Costa Rica,2016,20165.50289
Czechia,2016,614449.1182
Denmark,2016,2135419.7
Finland,2016,2746180.722
France,2016,19129200.08
Germany,2016,27994806.87
Greece,2016,1285468.779
Hungary,2016,2405813.741
Iceland,2016,1533445.182
Ireland,2016,13599272.95
Israel,2016,2277335.72
Italy,2016,5114032.191
Japan,2016,22735155.29
Korea,2016,17900516.79
Latvia,2016,432277.0967
Lithuania,2016,1507.536726
Luxembourg,2016,198184.9795
Mexico,2016,7669030.898
Netherlands,2016,9700791.337
New Zealand,2016,3384616.366
Norway,2016,4201076.195
Poland,2016,1058396.468
Portugal,2016,3357195.206
Slovak Republic,2016,25141.64201
Slovenia,2016,202633.6811
Spain,2016,11197284.5
Sweden,2016,2388114.972
Switzerland,2016,5300764.586
Türkiye,2016,18562490.44
United Kingdom,2016,36048900.8
United States,2016,155638763.7
Australia,2015,15639357.75
Austria,2015,2409365.511
Belgium,2015,2239216.038
Canada,2015,17101756.71
Chile,2015,5106432.891
Colombia,2015,4179103.884
Costa Rica,2015,28565.65711
Czechia,2015,567671.0027
Denmark,2015,1892133.223
Estonia,2015,77260.9197
Finland,2015,2731603.821
France,2015,19134733.78
Germany,2015,27762844.35
Greece,2015,1154302.371
Hungary,2015,2001623.93
Iceland,2015,1113816.292
Ireland,2015,11051910.67
Israel,2015,2138917.008
Italy,2015,4737629.624
Japan,2015,21819202.64
Korea,2015,16491887.65
Latvia,2015,402398.8655
Lithuania,2015,13487.96237
Luxembourg,2015,194130.4677
Mexico,2015,6886454.208
Netherlands,2015,8998789.057
New Zealand,2015,3162753.828
Norway,2015,4728295.706
Poland,2015,797570.063
Portugal,2015,3430051.512
Slovak Republic,2015,61343.90657
Slovenia,2015,142775.9714
Spain,2015,10612669.54
Sweden,2015,1930172.175
Switzerland,2015,4997884.091
Türkiye,2015,16964540.52
United Kingdom,2015,35316106.38
United States,2015,152125866.4
Australia,2014,15532003.9
Austria,2014,2423266.516
Belgium,2014,2143215.528
Canada,2014,16087798.83
Chile,2014,4907880.531
Colombia,2014,3525960.652
Costa Rica,2014,65953.85272
Czechia,2014,562587.3007
Denmark,2014,1400434.602
Estonia,2014,81589.82912
Finland,2014,2498004.982
France,2014,19373004.37
Germany,2014,26866184.09
Greece,2014,923932.0389
Hungary,2014,1621574.005
Iceland,2014,879402.4818
Ireland,2014,10228126.77
Israel,2014,2040907.111
Italy,2014,4747048.663
Japan,2014,20783019.93
Korea,2014,15302042.71
Latvia,2014,345045.6249
Lithuania,2014,33813.88875
Luxembourg,2014,183753.4843
Mexico,2014,6204353.946
Netherlands,2014,8871885.562
New Zealand,2014,2938398.619
Norway,2014,4540607.249
Poland,2014,890825.6517
Portugal,2014,3413561.575
Slovak Republic,2014,62687.49577
Slovenia,2014,116917.7709
Spain,2014,9689513.637
Sweden,2014,1930739.613
Switzerland,2014,4938896.629
Türkiye,2014,14533548.79
United Kingdom,2014,34996057.23
United States,2014,149116767.4
Australia,2017,16367976.01
Austria,2017,3105415.069
Belgium,2017,2602618.568
Canada,2017,19758827.55
Chile,2017,5510168.696
Colombia,2017,4591779.607
Costa Rica,2017,42296.96422
Czechia,2017,773487.3138
Denmark,2017,2202049.136
Estonia,2017,2447.293398
Finland,2017,2820278.168
France,2017,19452303.46
Germany,2017,27335461.29
Greece,2017,1303408.019
Hungary,2017,2909244.993
Iceland,2017,1952216.03
Ireland,2017,15627714.71
Israel,2017,2348375.597
Italy,2017,5234046.521
Japan,2017,23373783.58
Korea,2017,19106892.65
Latvia,2017,434399.53
Lithuania,2017,1446.798338
Luxembourg,2017,202975.7595
Mexico,2017,8588474.944
Netherlands,2017,10367593.09
New Zealand,2017,3510877.156
Norway,2017,4354641.554
Poland,2017,1482570.11
Portugal,2017,3768577.193
Slovak Republic,2017,15128.66041
Slovenia,2017,144163.3678
Spain,2017,11697878.43
Sweden,2017,2429050.058
Switzerland,2017,5309243.631
Türkiye,2017,18751802.83
United Kingdom,2017,37255438.29
United States,2017,158316322.6
Australia,2018,16421546.59
Austria,2018,2803928.316
Belgium,2018,2743382.041
Canada,2018,20883250.51
Chile,2018,8964914.555
Colombia,2018,4896757.387
Costa Rica,2018,84516.01511
Czechia,2018,827387.1696
Denmark,2018,2355860.817
Estonia,2018,2120.869883
Finland,2018,3167995.977
France,2018,20231844.31
Germany,2018,27017972.7
Greece,2018,1425031.231
Hungary,2018,3433686.041
Iceland,2018,2188845.575
Ireland,2018,16948309.14
Israel,2018,2334362.254
Italy,2018,5444550.334
Japan,2018,23946508.14
Korea,2018,20081139.9
Latvia,2018,409661.5639
Lithuania,2018,58811.31892
Luxembourg,2018,224150.7942
Mexico,2018,9465822.675
Netherlands,2018,10942039.19
New Zealand,2018,3795691.039
Norway,2018,4847239.565
Poland,2018,1938813.531
Portugal,2018,4079757.277
Slovak Republic,2018,47728.9526
Slovenia,2018,152230.9118
Spain,2018,12569629.68
Sweden,2018,2281071.803
Switzerland,2018,5533670.397
Türkiye,2018,20099161.84
United Kingdom,2018,39405438.68
United States,2018,162895259.3
Australia,2013,15649981.49
Austria,2013,2331782.458
Belgium,2013,1892704.437
Canada,2013,15334126.45
Chile,2013,5085165.898
Colombia,2013,2215794.422
Costa Rica,2013,278412.5652
Czechia,2013,630823.3213
Denmark,2013,1357859.664
Estonia,2013,88866.60958
Finland,2013,2488251.75
France,2013,19212816.82
Germany,2013,26178092.09
Greece,2013,789068.8372
Hungary,2013,1315937.179
Iceland,2013,742892.8714
Ireland,2013,9815969.094
Israel,2013,1994549.638
Italy,2013,4937369.247
Japan,2013,19830454.31
Korea,2013,14446799.36
Latvia,2013,384952.4908
Lithuania,2013,74163.27547
Luxembourg,2013,173546.7687
Mexico,2013,5748008.444
Netherlands,2013,8767293.775
New Zealand,2013,2902952.783
Norway,2013,3766754.152
Poland,2013,870401.799
Portugal,2013,3281539.459
Slovak Republic,2013,35082.5642
Slovenia,2013,107849.0693
Spain,2013,9108017.488
Sweden,2013,1894457.227
Switzerland,2013,4887944.57
Türkiye,2013,12365754.69
United Kingdom,2013,34274001
United States,2013,147617434.8

